scheduler,path_1_bw,path_2_bw,latency,avg_transfer_time
blest,5.0,5.0,100,11.7849748
blest,10.0,10.0,50,5.9654776
blest,0.5,5.0,0,52.1166252
blest,5.0,5.0,50,11.430809900000002
blest,0.5,1.0,0,73.6949517
blest,2.0,2.0,0,27.704999400000002
blest,0.5,2.0,0,59.42352789999999
blest,0.5,2.0,50,45.1520102
first_path,0.5,5.0,100,220.53955909999996
first_path,1.0,1.0,50,109.6890007
first_path,10.0,10.0,0,11.153904100000002
first_path,0.5,5.0,50,220.45792600000004
first_path,0.5,0.5,0,221.5077058
first_path,5.0,5.0,0,22.9371892
first_path,0.5,1.0,50,220.4615379
first_path,2.0,2.0,50,54.424642600000006
first_path,0.5,10.0,100,220.5452831
first_path,0.5,0.5,50,220.4528491
first_path,0.5,10.0,0,221.61230500000002
first_path,10.0,10.0,100,11.763763
first_path,0.5,0.5,100,220.5505814
first_path,1.0,1.0,100,109.78147779999999
first_path,0.5,2.0,100,220.51668879999997
first_path,0.5,10.0,50,220.44314680000002
first_path,1.0,1.0,0,110.5798544
first_path,2.0,2.0,100,55.09867899999999
first_path,0.5,1.0,100,220.5509039
first_path,5.0,5.0,100,22.328830399999998
first_path,10.0,10.0,50,10.983447200000002
first_path,0.5,5.0,0,221.6132493
first_path,5.0,5.0,50,21.898863
first_path,0.5,1.0,0,221.6494965
first_path,2.0,2.0,0,52.818483
first_path,0.5,2.0,0,221.6010608
first_path,0.5,2.0,50,220.44617089999997
random,0.5,5.0,100,56.600185499999995
random,1.0,1.0,50,54.969747100000006
random,10.0,10.0,0,5.5582322
random,0.5,5.0,50,52.9144548
random,0.5,0.5,0,60.831516199999996
random,5.0,5.0,0,11.1001806
random,0.5,1.0,50,79.9945703
random,2.0,2.0,50,27.575421
random,0.5,10.0,100,56.508581400000004
random,0.5,0.5,50,55.8688541
random,0.5,10.0,0,64.77513409999999
random,10.0,10.0,100,6.3204664
random,0.5,0.5,100,54.612553500000004
random,1.0,1.0,100,55.17497039999999
random,0.5,2.0,100,68.27916350000001
random,0.5,10.0,50,53.73623299999999
random,1.0,1.0,0,55.3935671
random,2.0,2.0,100,27.8377925
random,0.5,1.0,100,79.7882767
random,5.0,5.0,100,11.5951021
random,10.0,10.0,50,5.808602100000001
random,0.5,5.0,0,66.7007555
random,5.0,5.0,50,11.2089306
random,0.5,1.0,0,65.5188222
random,2.0,2.0,0,27.967880300000008
random,0.5,2.0,0,68.00386639999999
random,0.5,2.0,50,66.4976028
low_bandit,0.5,5.0,100,65.158437
low_bandit,1.0,1.0,50,77.8295072
low_bandit,10.0,10.0,0,5.814447599999999
low_bandit,0.5,5.0,50,24.4723364
low_bandit,0.5,0.5,0,58.2220948
low_bandit,5.0,5.0,0,14.208680699999999
low_bandit,0.5,1.0,50,126.4207155
low_bandit,2.0,2.0,50,31.800922500000002
low_bandit,0.5,10.0,100,38.7404811
low_bandit,0.5,0.5,50,145.8445193
low_bandit,0.5,10.0,0,56.9722699
low_bandit,10.0,10.0,100,7.1786242
low_bandit,0.5,0.5,100,148.21971620000002
low_bandit,1.0,1.0,100,77.72697973
low_bandit,0.5,2.0,100,87.962595
low_bandit,0.5,10.0,50,19.895853800000005
low_bandit,1.0,1.0,0,103.13013120000001
low_bandit,2.0,2.0,100,32.904339699999994
low_bandit,0.5,1.0,100,123.09449249999997
low_bandit,5.0,5.0,100,12.920729799999998
low_bandit,10.0,10.0,50,5.9476265999999995
low_bandit,0.5,5.0,0,62.9940787
low_bandit,5.0,5.0,50,11.3264381
low_bandit,0.5,1.0,0,58.51512700000001
low_bandit,2.0,2.0,0,46.5027946
low_bandit,0.5,2.0,0,60.3217716
low_bandit,0.5,2.0,50,71.8486633
